import time: self [us] | cumulative | imported package
import time:       595 |        595 |                         requests.__version__
import time:       734 |        734 |                         requests._internal_utils
import time:       334 |        334 |                         requests.cookies
import time:       239 |        239 |                         requests.structures
import time:       282 |        282 |                         importlib.resources._adapters
import time:       174 |        174 |                             importlib.resources._itertools
import time:       181 |        355 |                           importlib.resources.readers
import time:       129 |        484 |                         importlib.readers
import time:       541 |       3876 |                       requests.utils
import time:       294 |        294 |                             requests.auth
import time:       162 |        162 |                               requests.hooks
import time:       301 |        301 |                               requests.status_codes
import time:       396 |        858 |                             requests.models
import time:       205 |        205 |                               urllib3.contrib
import time:        40 |         40 |                               socks
import time:       318 |        561 |                             urllib3.contrib.socks
import time:     15087 |      16800 |                           requests.adapters
import time:       306 |      17105 |                         requests.sessions
import time:       236 |      17341 |                       requests.api
import time:       306 |      61193 |                     requests
import time:       355 |      62124 |                   pymongo.ocsp_support
import time:       435 |        435 |                   pymongo.socket_checker
import time:       268 |     108475 |                 pymongo.pyopenssl_context
import time:       220 |        220 |                 pymongo.ssl_context
import time:       178 |     108873 |               pymongo.ssl_support
import time:       326 |     113642 |             pymongo.client_options
import time:       944 |     114586 |           pymongo.uri_parser_shared
import time:       216 |     115050 |         pymongo.asynchronous.uri_parser
import time:       318 |        318 |           pymongo._client_bulk_shared
import time:       378 |        695 |         pymongo.asynchronous.client_bulk
import time:       272 |        272 |             pymongo.server_description
import time:       508 |        779 |           pymongo.asynchronous.monitor
import time:       345 |        345 |               pymongo.network_layer
import time:       262 |        607 |             pymongo.asynchronous.network
import time:       236 |        236 |             pymongo.pool_shared
import time:       509 |       1352 |           pymongo.asynchronous.pool
import time:       445 |        445 |           pymongo.topology_description
import time:       271 |       2846 |         pymongo.asynchronous.settings
import time:       239 |        239 |           pymongo.asynchronous.server
import time:       441 |        680 |         pymongo.asynchronous.topology
import time:      1539 |     149906 |       pymongo.asynchronous.mongo_client
import time:       205 |        205 |           pymongo.synchronous
import time:       164 |        164 |           pymongo.synchronous.helpers
import time:       938 |       1306 |         pymongo.synchronous.cursor
import time:       202 |       1508 |       pymongo.cursor
import time:       304 |        304 |         pymongo.synchronous.aggregation
import time:       433 |        433 |           pymongo.synchronous.client_session
import time:       292 |        724 |         pymongo.synchronous.bulk
import time:       325 |        325 |           pymongo.synchronous.command_cursor
import time:       365 |        690 |         pymongo.synchronous.change_stream
import time:       741 |       2457 |       pymongo.synchronous.collection
import time:       392 |        392 |         pymongo.synchronous.database
import time:       224 |        224 |           pymongo.synchronous.srv_resolver
import time:       195 |        418 |         pymongo.synchronous.uri_parser
